Transaction_ID,Customer_ID,Name,Email,Phone,Address,City,State,Zipcode,Country,Age,Gender,Income,Customer_Segment,Date,Year,Month,Time,Total_Purchases,Amount,Total_Amount,Product_Category,Product_Brand,Product_Type,Feedback,Shipping_Method,Payment_Method,Order_Status,Ratings,products
8691788,37249,Michelle Harrington,Ebony39@gmail.com,141-478-6801,3959 Amanda Burgs,Dortmund,North Rhine-Westphalia,77985,Germany,21,Male,Low,Regular,18-09-2023,2023,September,,3,108.0287567,324.08627,Clothing,Nike,Shorts,Excellent,Same-Day,Debit Card,Shipped,5.0,Cycling shorts
2344675,26603,Angela Fields,Tanya94@gmail.com,366-809-6144,237 Young Curve,Munich,Bavaria,86862,Germany,29,Male,Medium,Premium,24-03-2023,2023,March,,1,46.58807038,46.58807038,Clothing,Zara,Shirt,Bad,Same-Day,Cash,Processing,1.0,Dress shirt
4926148,31878,Lori Bell,Jessica33@gmail.com,600-489-5059,6225 William Lodge,Cologne,North Rhine-Westphalia,64317,Germany,25,Male,Medium,New,04-10-2023,2023,October,,10,397.6112295,3976.112295,Home Decor,Home Depot,Decorations,Excellent,Standard,Cash,Delivered,4.0,Candles
3680043,78484,Mr. Zachary Marks,Tyler6@gmail.com,283-149-9082,085 Nguyen Highway,Cologne,North Rhine-Westphalia,49173,Germany,19,Female,Medium,New,28-12-2023,2023,December,,9,274.9842543,2474.858288,Home Decor,Home Depot,Tools,Good,Express,PayPal,Delivered,4.0,Drill
5206426,66989,Angel Fitzpatrick,Evan31@gmail.com,749-002-3454,548 Gonzalez Camp,Leipzig,Saxony,95501,Germany,19,Male,Medium,New,06-06-2023,2023,June,,2,85.71762111,171.4352422,Grocery,Coca-Cola,Water,Excellent,Standard,Debit Card,Delivered,5.0,Flavored water
5807993,28783,Christopher Greene,Lori69@gmail.com,967-123-4450,2773 Lindsay Gardens,Bielefeld,North Rhine-Westphalia,69117,Germany,19,Male,Medium,New,06-04-2023,2023,April,,7,495.1745928,3466.222149,Grocery,Pepsi,Juice,Average,Express,Cash,Delivered,2.0,Orange juice
2270795,60004,Rachel Diaz,Christine41@gmail.com,737-702-4547,201 Gonzalez Burg Suite 926,Düsseldorf,North Rhine-Westphalia,65763,Germany,19,Male,Medium,New,16-01-2024,2024,January,,4,316.675749,1266.702996,Home Decor,Bed Bath & Beyond,Bathroom,Good,Standard,Credit Card,Delivered,3.0,Towel rack
5487935,32631,Derrick Weiss,Michele87@gmail.com,323-086-3443,02698 Jane Plain Suite 518,Dortmund,North Rhine-Westphalia,2570,Germany,19,Male,Medium,New,16-02-2024,2024,February,,1,452.2672299,452.2672299,Books,Random House,Non-Fiction,Excellent,Standard,Debit Card,Delivered,5.0,History
1916952,93367,Angie Butler,Julie3@gmail.com,145-623-3359,256 Smith Meadows Apt. 134,Frankfurt,Hesse,88400,Germany,19,Male,Medium,New,18-05-2023,2023,May,,10,415.8277422,4158.277422,Home Decor,Bed Bath & Beyond,Bedding,Average,Same-Day,PayPal,Delivered,2.0,Comforter
9044311,43576,Tiffany Edwards,Monica29@gmail.com,761-272-6371,4566 Brown Trail Suite 032,Essen,North Rhine-Westphalia,89576,Germany,19,Female,Medium,New,04-04-2023,2023,April,,2,481.6567781,963.3135563,Grocery,Coca-Cola,Juice,Excellent,Standard,PayPal,Delivered,4.0,Pineapple juice
